,wind speed ,direction
2014-04-01-18-40,3.0499999999999998,26.940000000000001
2014-04-01-18-49,2.8300000000000001,24.469999999999999
2014-04-01-18-59,3.3900000000000001,34.079999999999998
2014-04-01-19-10,2.5899999999999999,33.640000000000001
2014-04-01-19-20,2.1600000000000001,37.18
2014-04-01-19-30,2.1299999999999999,42.520000000000003
2014-04-01-19-40,2.4300000000000002,44.759999999999998
2014-04-01-19-50,3.0499999999999998,46.030000000000001
2014-04-01-20-00,3.0299999999999998,47.729999999999997
2014-04-01-20-10,3.2000000000000002,51.420000000000002
2014-04-01-20-19,2.3700000000000001,61.299999999999997
2014-04-01-20-29,2.9900000000000002,67.700000000000003
2014-04-01-20-40,3.46,70.599999999999994
2014-04-01-20-50,4.5300000000000002,78.700000000000003
2014-04-01-21-00,4.5899999999999999,80.099999999999994
2014-04-01-21-10,4.3399999999999999,75.700000000000003
2014-04-01-21-20,3.8700000000000001,70.5
2014-04-01-21-30,2.8399999999999999,78.799999999999997
2014-04-01-21-40,1.3400000000000001,84.5
2014-04-01-21-49,1.9399999999999999,84.200000000000003
2014-04-01-21-59,2.6200000000000001,74.200000000000003
2014-04-01-22-10,3.2599999999999998,68.599999999999994
2014-04-01-22-20,3.1099999999999999,69.5
2014-04-01-22-30,1.1299999999999999,53.960000000000001
2014-04-01-22-40,2.3900000000000001,270.89999999999998
2014-04-01-22-50,1.77,324.80000000000001
2014-04-01-23-00,1.6200000000000001,317.30000000000001
2014-04-01-23-10,0.97999999999999998,333.60000000000002
2014-04-01-23-19,0.34000000000000002,331.10000000000002
2014-04-01-23-29,1.03,323.0
2014-04-01-23-40,1.3300000000000001,10.57
2014-04-01-23-50,2.4399999999999999,40.090000000000003
2014-04-02-00-00,3.8599999999999999,44.439999999999998
2014-04-02-00-10,3.6800000000000002,49.219999999999999
2014-04-02-00-20,2.1299999999999999,47.25
2014-04-02-00-30,2.2000000000000002,56.600000000000001
2014-04-02-00-40,1.99,50.619999999999997
2014-04-02-00-49,3.5,62.0
2014-04-02-00-59,3.3399999999999999,57.299999999999997
2014-04-02-01-10,3.2000000000000002,54.200000000000003
2014-04-02-01-20,3.3599999999999999,56.700000000000003
2014-04-02-01-30,2.3399999999999999,60.600000000000001
2014-04-02-01-40,3.5299999999999998,56.399999999999999
2014-04-02-01-50,2.6000000000000001,55.0
2014-04-02-02-00,2.0600000000000001,48.100000000000001
2014-04-02-02-10,1.71,43.869999999999997
2014-04-02-02-19,1.05,53.359999999999999
2014-04-02-02-29,0.19,119.90000000000001
2014-04-02-02-40,1.1699999999999999,244.69999999999999
2014-04-02-02-50,0.82999999999999996,268.39999999999998
2014-04-02-03-00,1.1000000000000001,279.10000000000002
2014-04-02-03-10,1.1399999999999999,299.39999999999998
2014-04-02-03-20,1.3799999999999999,280.69999999999999
2014-04-02-03-30,1.5600000000000001,266.60000000000002
2014-04-02-03-40,1.76,289.69999999999999
2014-04-02-03-49,1.6899999999999999,299.69999999999999
2014-04-02-03-59,2.3900000000000001,288.80000000000001
2014-04-02-04-10,1.6499999999999999,309.80000000000001
2014-04-02-04-20,1.53,298.30000000000001
2014-04-02-04-30,1.47,310.80000000000001
2014-04-02-04-40,1.3999999999999999,284.5
2014-04-02-04-50,1.98,277.60000000000002
2014-04-02-05-00,1.76,287.60000000000002
2014-04-02-05-10,1.3899999999999999,285.39999999999998
2014-04-02-05-19,1.24,295.80000000000001
2014-04-02-05-29,2.0600000000000001,295.5
2014-04-02-05-40,2.2400000000000002,291.30000000000001
2014-04-02-05-50,1.76,299.39999999999998
2014-04-02-06-00,1.5900000000000001,299.5
2014-04-02-06-10,0.97999999999999998,314.89999999999998
2014-04-02-06-20,0.42999999999999999,304.0
2014-04-02-06-30,0.84999999999999998,300.80000000000001
2014-04-02-06-40,0.75,298.69999999999999
2014-04-02-06-49,0.84999999999999998,301.39999999999998
2014-04-02-06-59,0.81000000000000005,301.60000000000002
2014-04-02-07-10,1.01,283.5
2014-04-02-07-20,1.3,287.10000000000002
2014-04-02-07-30,1.6699999999999999,294.5
2014-04-02-07-40,1.3400000000000001,305.5
2014-04-02-07-50,0.40999999999999998,314.19999999999999
2014-04-02-08-00,0.33000000000000002,316.39999999999998
2014-04-02-08-10,0.32000000000000001,314.60000000000002
2014-04-02-08-19,0.56999999999999995,277.80000000000001
