,u,v,depth
2009-09-03-03-00,-4.0199999999999996,-11.18,62.0
2009-09-03-03-59,-4.9900000000000002,-7.5,62.0
2009-09-03-05-00,-1.73,-4.7800000000000002,62.0
2009-09-03-06-00,-2.2200000000000002,-7.0099999999999998,62.0
2009-09-03-06-59,2.1000000000000001,2.0699999999999998,62.0
2009-09-03-08-00,1.49,2.73,62.0
2009-09-03-09-00,16.02,40.0,62.0
2009-09-03-12-00,-1.6100000000000001,1.9299999999999999,62.0
2009-09-03-12-59,-2.3399999999999999,-5.1699999999999999,62.0
2009-09-03-14-00,-5.0,-6.7800000000000002,62.0
2009-09-03-15-00,-5.5199999999999996,-6.4100000000000001,62.0
2009-09-03-15-59,-2.8599999999999999,-0.20999999999999999,62.0
2009-09-03-17-00,-7.3099999999999996,-4.2199999999999998,62.0
2009-09-03-18-00,-0.23000000000000001,-2.0499999999999998,62.0
2009-09-03-18-59,3.6800000000000002,-4.0300000000000002,62.0
2009-09-03-21-00,6.6799999999999997,11.02,62.0
2009-09-03-21-59,-2.5899999999999999,6.0099999999999998,62.0
2009-09-03-23-00,23.760000000000002,28.829999999999998,62.0
2009-09-04-00-00,-20.960000000000001,13.25,62.0
2009-09-04-00-59,18.66,61.609999999999999,62.0
2009-09-04-03-00,-7.3099999999999996,8.5899999999999999,62.0
2009-09-04-03-59,0.059999999999999998,0.84999999999999998,62.0
2009-09-04-05-00,-0.11,-4.6200000000000001,62.0
2009-09-04-06-00,-6.2800000000000002,-8.8200000000000003,62.0
2009-09-04-06-59,1.6299999999999999,-3.79,62.0
2009-09-04-08-00,1.5600000000000001,-0.68999999999999995,62.0
2009-09-04-11-00,-0.53000000000000003,8.5999999999999996,62.0
2009-09-04-12-00,-7.1799999999999997,3.5299999999999998,62.0
2009-09-04-12-59,-2.79,4.9100000000000001,62.0
2009-09-04-14-00,-3.29,-1.5900000000000001,62.0
2009-09-04-15-00,-7.3499999999999996,-2.6699999999999999,62.0
2009-09-04-15-59,0.68999999999999995,-8.7599999999999998,62.0
2009-09-04-17-00,-0.19,-9.3300000000000001,62.0
2009-09-04-18-00,-0.10000000000000001,-7.8399999999999999,62.0
2009-09-04-18-59,0.17000000000000001,-3.7999999999999998,62.0
2009-09-04-20-00,2.1099999999999999,0.62,62.0
2009-09-04-21-00,16.859999999999999,5.04,62.0
2009-09-05-00-59,-3.2000000000000002,-0.82999999999999996,62.0
2009-09-05-02-00,-2.04,-1.22,62.0
2009-09-05-03-00,-2.3300000000000001,-2.3500000000000001,62.0
2009-09-05-03-59,-6.9800000000000004,-2.1400000000000001,62.0
2009-09-05-05-00,-2.4100000000000001,-1.02,62.0
2009-09-05-06-00,-1.97,-3.6000000000000001,62.0
2009-09-05-06-59,0.69999999999999996,0.82999999999999996,62.0
2009-09-05-08-00,2.9199999999999999,0.33000000000000002,62.0
2009-09-05-09-00,7.4400000000000004,0.93000000000000005,62.0
2009-09-05-09-59,4.7999999999999998,3.8999999999999999,62.0
2009-09-05-11-00,1.5900000000000001,3.4900000000000002,62.0
2009-09-05-12-00,2.6499999999999999,6.6100000000000003,62.0
