,depth,temp,salinity
2003-08-31-23-35,20.0,9.9700000000000006,32.350000000000001
2003-09-01-00-35,20.0,9.7599999999999998,32.399999999999999
2003-09-01-01-35,20.0,10.970000000000001,32.439999999999998
2003-09-01-02-35,20.0,9.6300000000000008,32.409999999999997
2003-09-01-03-35,20.0,10.609999999999999,32.43
2003-09-01-04-35,20.0,9.2699999999999996,32.399999999999999
2003-09-01-05-35,20.0,9.2200000000000006,32.390000000000001
2003-09-01-06-35,20.0,9.1099999999999994,32.399999999999999
2003-09-01-07-35,20.0,9.4199999999999999,32.439999999999998
2003-09-01-08-35,20.0,9.3200000000000003,32.439999999999998
2003-09-01-09-35,20.0,9.3000000000000007,32.43
2003-09-01-10-35,20.0,9.3499999999999996,32.399999999999999
2003-09-01-11-35,20.0,9.4399999999999995,32.469999999999999
2003-09-01-12-35,20.0,9.8699999999999992,32.43
2003-09-01-13-35,20.0,9.8399999999999999,32.43
2003-09-01-14-35,20.0,9.75,32.369999999999997
2003-09-01-16-35,20.0,11.130000000000001,32.460000000000001
2003-09-01-17-35,20.0,9.2599999999999998,32.390000000000001
2003-09-01-19-35,20.0,9.9000000000000004,32.469999999999999
2003-09-01-20-35,20.0,9.5800000000000001,32.43
2003-09-01-21-35,20.0,9.9000000000000004,32.450000000000003
2003-09-01-22-35,20.0,9.4600000000000009,32.439999999999998
2003-09-01-23-35,20.0,9.6199999999999992,32.439999999999998
2003-09-02-00-35,20.0,9.4900000000000002,32.460000000000001
2003-09-02-01-35,20.0,9.3800000000000008,32.479999999999997
2003-09-02-02-35,20.0,10.27,32.479999999999997
2003-09-02-03-35,20.0,10.81,32.450000000000003
2003-09-02-04-35,20.0,10.619999999999999,32.509999999999998
2003-09-02-05-35,20.0,10.93,32.43
2003-09-02-06-35,20.0,10.9,32.420000000000002
2003-09-02-07-35,20.0,12.41,32.329999999999998
2003-09-02-09-35,20.0,9.5600000000000005,32.490000000000002
2003-09-02-10-35,20.0,10.15,32.469999999999999
2003-09-02-11-35,20.0,9.4600000000000009,32.43
2003-09-02-12-35,20.0,9.2699999999999996,32.420000000000002
2003-09-02-14-35,20.0,10.369999999999999,32.469999999999999
2003-09-02-15-35,20.0,9.7599999999999998,32.460000000000001
2003-09-02-16-35,20.0,9.9399999999999995,32.549999999999997
2003-09-02-17-35,20.0,10.69,32.450000000000003
2003-09-02-18-35,20.0,10.699999999999999,32.43
2003-09-02-19-35,20.0,10.619999999999999,32.490000000000002
2003-09-02-20-35,20.0,9.8300000000000001,32.479999999999997
2003-09-02-21-35,20.0,9.8699999999999992,32.539999999999999
2003-09-02-22-35,20.0,10.52,32.460000000000001
