,current speed,direction,u,v
2003-01-04-03-00,25.219999999999999,254.72999999999999,-24.329999999999998,-6.6399999999999997
2003-01-04-03-59,28.449999999999999,238.21000000000001,-24.18,-14.99
2003-01-04-05-00,26.98,240.31999999999999,-23.440000000000001,-13.359999999999999
2003-01-04-06-00,18.48,252.97,-17.670000000000002,-5.4100000000000001
2003-01-04-06-59,7.04,244.88999999999999,-6.3700000000000001,-2.9900000000000002
2003-01-04-08-00,16.719999999999999,265.27999999999997,-16.66,-1.3799999999999999
2003-01-04-09-00,12.609999999999999,229.06999999999999,-9.5299999999999994,-8.2599999999999998
2003-01-04-09-59,19.940000000000001,241.37,-17.510000000000002,-9.5600000000000005
2003-01-04-11-00,35.490000000000002,38.5,22.09,27.77
2003-01-04-12-00,32.850000000000001,28.300000000000001,15.57,28.920000000000002
2003-01-04-12-59,35.780000000000001,33.579999999999998,19.789999999999999,29.809999999999999
2003-01-04-14-00,42.530000000000001,44.119999999999997,29.609999999999999,30.530000000000001
2003-01-04-15-00,52.5,40.609999999999999,34.170000000000002,39.859999999999999
2003-01-04-15-59,37.25,358.42000000000002,-1.03,37.229999999999997
2003-01-04-17-00,34.32,7.21,4.2999999999999998,34.049999999999997
2003-01-04-18-00,29.620000000000001,7.21,3.7200000000000002,29.390000000000001
2003-01-04-18-59,33.729999999999997,354.19999999999999,-3.4100000000000001,33.560000000000002
2003-01-04-20-00,27.57,352.08999999999997,-3.7999999999999998,27.309999999999999
2003-01-04-21-00,26.100000000000001,338.06,-9.75,24.210000000000001
2003-01-04-21-59,22.0,342.27999999999997,-6.7000000000000002,20.949999999999999
2003-01-04-23-00,20.530000000000001,335.60000000000002,-8.4800000000000004,18.699999999999999
2003-01-05-00-00,21.699999999999999,339.47000000000003,-7.6100000000000003,20.329999999999998
2003-01-05-00-59,19.649999999999999,329.26999999999998,-10.039999999999999,16.890000000000001
2003-01-05-02-00,23.760000000000002,323.64999999999998,-14.08,19.129999999999999
2003-01-05-03-00,22.0,342.98000000000002,-6.4400000000000004,21.030000000000001
2003-01-05-03-59,16.420000000000002,346.11000000000001,-3.9399999999999999,15.94
2003-01-05-05-00,15.25,300.44,-13.15,7.7300000000000004
2003-01-05-06-00,13.199999999999999,332.44,-6.1100000000000003,11.699999999999999
2003-01-05-06-59,18.18,329.26999999999998,-9.2899999999999991,15.630000000000001
2003-01-05-08-00,16.420000000000002,317.31999999999999,-11.140000000000001,12.07
2003-01-05-09-00,16.129999999999999,305.70999999999998,-13.1,9.4199999999999999
2003-01-05-09-59,14.08,313.10000000000002,-10.279999999999999,9.6199999999999992
2003-01-05-11-00,16.129999999999999,292.0,-14.960000000000001,6.04
2003-01-05-12-00,16.129999999999999,300.08999999999997,-13.960000000000001,8.0899999999999999
2003-01-05-12-59,14.369999999999999,327.86000000000001,-7.6399999999999997,12.17
