,depth,temp,salinity
2003-08-31-23-34,50.0,8.0299999999999994,32.479999999999997
2003-09-01-00-34,50.0,7.9900000000000002,32.469999999999999
2003-09-01-01-34,50.0,7.9900000000000002,32.439999999999998
2003-09-01-02-34,50.0,8.0899999999999999,32.450000000000003
2003-09-01-03-34,50.0,7.9699999999999998,32.439999999999998
2003-09-01-04-34,50.0,8.0,32.450000000000003
2003-09-01-05-34,50.0,7.96,32.469999999999999
2003-09-01-06-34,50.0,7.9299999999999997,32.479999999999997
2003-09-01-07-34,50.0,8.0800000000000001,32.469999999999999
2003-09-01-08-34,50.0,8.0800000000000001,32.479999999999997
2003-09-01-09-34,50.0,8.0899999999999999,32.479999999999997
2003-09-01-10-34,50.0,7.9000000000000004,32.469999999999999
2003-09-01-11-34,50.0,7.8600000000000003,32.479999999999997
2003-09-01-12-34,50.0,7.8899999999999997,32.469999999999999
2003-09-01-13-34,50.0,7.8600000000000003,32.450000000000003
2003-09-01-14-34,50.0,7.9199999999999999,32.469999999999999
2003-09-01-15-34,50.0,8.0600000000000005,32.43
2003-09-01-16-34,50.0,7.8700000000000001,32.469999999999999
2003-09-01-17-34,50.0,7.8499999999999996,32.460000000000001
2003-09-01-18-34,50.0,8.0899999999999999,32.43
2003-09-01-19-34,50.0,7.96,32.469999999999999
2003-09-01-20-34,50.0,7.9100000000000001,32.479999999999997
2003-09-01-21-34,50.0,7.7999999999999998,32.479999999999997
2003-09-01-22-34,50.0,7.9000000000000004,32.479999999999997
2003-09-01-23-34,50.0,7.8499999999999996,32.460000000000001
2003-09-02-00-34,50.0,7.8700000000000001,32.460000000000001
2003-09-02-01-34,50.0,7.8600000000000003,32.479999999999997
2003-09-02-02-34,50.0,7.8700000000000001,32.469999999999999
2003-09-02-03-34,50.0,8.0,32.450000000000003
2003-09-02-04-34,50.0,7.96,32.450000000000003
2003-09-02-05-34,50.0,7.9500000000000002,32.450000000000003
2003-09-02-06-34,50.0,7.9699999999999998,32.450000000000003
2003-09-02-07-34,50.0,8.1300000000000008,32.460000000000001
2003-09-02-08-34,50.0,7.9299999999999997,32.450000000000003
2003-09-02-09-34,50.0,7.9900000000000002,32.450000000000003
2003-09-02-10-34,50.0,8.1999999999999993,32.450000000000003
2003-09-02-11-34,50.0,7.9500000000000002,32.450000000000003
2003-09-02-12-34,50.0,7.9699999999999998,32.460000000000001
2003-09-02-13-34,50.0,8.1300000000000008,32.450000000000003
2003-09-02-14-34,50.0,7.96,32.460000000000001
2003-09-02-15-34,50.0,7.9900000000000002,32.450000000000003
2003-09-02-16-34,50.0,8.0299999999999994,32.439999999999998
2003-09-02-17-34,50.0,8.0800000000000001,32.460000000000001
2003-09-02-18-34,50.0,8.25,32.450000000000003
2003-09-02-19-34,50.0,8.0899999999999999,32.460000000000001
2003-09-02-20-34,50.0,8.0700000000000003,32.460000000000001
2003-09-02-21-34,50.0,8.2100000000000009,32.450000000000003
2003-09-02-22-34,50.0,8.3800000000000008,32.450000000000003
