,depth,temp,salinity
2008-01-01-00-59,20.0,5.5599999999999996,32.520000000000003
2008-01-01-02-00,20.0,5.5199999999999996,32.5
2008-01-01-03-00,20.0,5.4699999999999998,32.469999999999999
2008-01-01-03-59,20.0,5.5199999999999996,32.490000000000002
2008-01-01-05-00,20.0,5.5,32.490000000000002
2008-01-01-06-00,20.0,5.54,32.509999999999998
2008-01-01-06-59,20.0,5.5700000000000003,32.530000000000001
2008-01-01-08-00,20.0,5.6699999999999999,32.539999999999999
2008-01-01-09-00,20.0,5.7599999999999998,32.609999999999999
2008-01-01-09-59,20.0,5.7699999999999996,32.619999999999997
2008-01-01-11-00,20.0,5.79,32.640000000000001
2008-01-01-12-00,20.0,5.7800000000000002,32.630000000000003
2008-01-01-12-59,20.0,5.6799999999999997,32.579999999999998
2008-01-01-14-00,20.0,5.5999999999999996,32.549999999999997
2008-01-01-15-00,20.0,5.5099999999999998,32.509999999999998
2008-01-01-15-59,20.0,5.4800000000000004,32.5
2008-01-01-17-00,20.0,5.5199999999999996,32.520000000000003
2008-01-01-18-00,20.0,5.5700000000000003,32.520000000000003
2008-01-01-18-59,20.0,5.5,32.5
2008-01-01-20-00,20.0,5.5700000000000003,32.539999999999999
2008-01-01-21-00,20.0,5.6500000000000004,32.57
2008-01-01-21-59,20.0,5.7000000000000002,32.579999999999998
2008-01-01-23-00,20.0,5.5899999999999999,32.530000000000001
2008-01-02-00-00,20.0,5.5999999999999996,32.549999999999997
2008-01-02-00-59,20.0,5.54,32.520000000000003
2008-01-02-02-00,20.0,5.5099999999999998,32.5
2008-01-02-03-00,20.0,5.46,32.5
2008-01-02-03-59,20.0,5.4900000000000002,32.520000000000003
2008-01-02-05-00,20.0,5.5300000000000002,32.560000000000002
2008-01-02-06-00,20.0,5.6600000000000001,32.619999999999997
2008-01-02-06-59,20.0,5.6600000000000001,32.630000000000003
2008-01-02-08-00,20.0,5.71,32.640000000000001
2008-01-02-09-00,20.0,5.8200000000000003,32.670000000000002
2008-01-02-09-59,20.0,5.6600000000000001,32.630000000000003
2008-01-02-11-00,20.0,5.5800000000000001,32.590000000000003
2008-01-02-12-00,20.0,5.4299999999999997,32.5
2008-01-02-12-59,20.0,5.4699999999999998,32.520000000000003
2008-01-02-14-00,20.0,5.5800000000000001,32.560000000000002
2008-01-02-15-00,20.0,5.5899999999999999,32.579999999999998
2008-01-02-15-59,20.0,5.6900000000000004,32.619999999999997
2008-01-02-17-00,20.0,5.6299999999999999,32.579999999999998
2008-01-02-18-00,20.0,5.6699999999999999,32.619999999999997
2008-01-02-18-59,20.0,5.5700000000000003,32.57
2008-01-02-20-00,20.0,5.4299999999999997,32.5
2008-01-02-21-00,20.0,5.5199999999999996,32.509999999999998
2008-01-02-21-59,20.0,5.5099999999999998,32.520000000000003
2008-01-02-23-00,20.0,5.46,32.5
